,Player,Pos,Team,PTS,CR,Plus,Apps,Starter,Mins,Goals_x,Shots,On Tar. Shots,Pen Goals,Successful Dribbles,Ast,Acc Pass,Key Pass,Fouls,Was Fouled,YC,RC,Rec Ball,Tackles,Clean Sheets,Saves,Goals_y,top_10_scorer
1081,R. Saiss,Midfielder,WOL,16.31,10.5,2.2,15,14,1144,0.13,0.8,0.47,0.0,0.07,0.0,34.53,0.4,1.53,0.73,0.47,0.07,1.73,1.2,0.13,0.0,2,No
1082,P. van Aanholt,Defender,CRY,16.25,12.8,-0.5,17,17,1444,0.12,0.82,0.18,0.06,0.53,0.0,33.0,0.88,0.12,0.24,0.0,0.0,2.29,1.29,0.24,0.0,3,No
1083,N. Maupay,Attacker,BHA,16.22,11.2,0.5,19,15,1361,0.37,2.74,1.0,0.05,0.63,0.0,13.89,0.53,0.84,1.05,0.05,0.0,0.37,0.42,0.16,0.0,10,No
1084,J. O&#39;Connell,Defender,SHU,16.17,10.3,2.1,19,19,1710,0.0,0.53,0.11,0.0,0.26,0.05,35.74,0.47,0.63,0.47,0.16,0.0,2.0,0.84,0.37,0.0,0,No
1085,D. Sidibe,Defender,EVE,16.15,11.1,-0.5,11,10,851,0.0,0.36,0.09,0.0,0.73,0.36,25.0,0.91,1.45,0.64,0.18,0.0,4.18,3.91,0.27,0.0,0,No
1086,V. Lindelof,Defender,MUN,16.13,12.1,1.0,18,18,1620,0.06,0.17,0.06,0.0,0.11,0.0,51.33,0.17,0.44,0.11,0.17,0.0,1.0,0.72,0.11,0.0,1,No
1087,E. Lamela,Midfielder,TOT,16.07,9.4,-1.2,9,7,607,0.22,1.33,0.44,0.0,1.0,0.11,25.33,1.56,1.22,1.11,0.22,0.0,1.67,1.44,0.11,0.0,2,No
1088,B. Mendy,Defender,MCI,16.05,12.3,-1.3,8,8,653,0.0,0.38,0.0,0.0,0.88,0.13,48.38,0.88,0.88,0.0,0.13,0.0,2.0,0.88,0.38,0.0,0,No
1089,N. Ake,Defender,BOR,15.96,11.8,-1.0,16,16,1385,0.06,0.88,0.19,0.0,0.19,0.06,42.88,0.31,0.31,0.56,0.06,0.0,2.31,1.19,0.19,0.0,2,No
1090,I. Gundogan,Midfielder,MCI,15.93,12.8,-1.6,17,12,1081,0.12,1.41,0.24,0.06,0.53,0.0,51.12,1.29,0.59,0.41,0.41,0.0,1.41,0.59,0.18,0.0,2,No
1091,K. Hause,Defender,AVL,15.87,6.7,0.7,3,3,270,0.0,0.67,0.0,0.0,0.0,0.0,34.0,0.0,1.33,0.0,0.33,0.0,1.67,2.33,0.33,0.0,1,No
1092,A. Barnes,Attacker,BRN,15.85,10.7,-1.4,17,15,1248,0.35,2.24,0.71,0.06,0.35,0.0,7.59,0.24,1.88,2.18,0.24,0.0,0.65,0.59,0.41,0.0,6,No
1093,J. King,Attacker,BOR,15.83,11.1,-1.0,15,14,1237,0.2,1.07,0.53,0.07,2.4,0.13,13.4,1.13,1.33,1.33,0.0,0.0,0.73,0.87,0.2,0.0,6,No
1094,D. Martin,Goalkeeper,WHU,15.75,4.0,0.9,4,4,360,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,3.25,0,No
1095,E. Buendia,Midfielder,NOR,15.74,10.9,0.4,19,16,1414,0.0,1.05,0.26,0.0,3.16,0.26,35.68,2.89,0.79,1.58,0.11,0.0,1.47,1.84,0.05,0.0,1,No
1096,N. Pepe,Attacker,ARS,15.69,14.0,-2.8,16,10,1018,0.13,2.0,0.63,0.06,3.0,0.19,19.88,1.19,0.56,0.94,0.13,0.0,1.06,1.38,0.06,0.0,5,No
1097,R. Snodgrass,Midfielder,WHU,15.65,10.0,0.5,14,11,982,0.21,0.93,0.5,0.0,1.07,0.07,19.14,1.71,1.14,1.57,0.29,0.0,0.79,1.07,0.14,0.0,5,No
1098,T. Alderweireld,Defender,TOT,15.63,12.7,-0.6,18,18,1620,0.0,0.39,0.06,0.0,0.0,0.11,56.39,0.44,0.5,0.22,0.11,0.0,2.06,1.28,0.11,0.0,2,No
1099,A. Christensen,Defender,CHE,15.6,10.8,-0.8,8,8,672,0.0,0.38,0.13,0.0,0.13,0.0,49.38,0.13,0.75,0.75,0.25,0.0,2.0,1.75,0.13,0.0,0,No
1100,A. Maitland-Niles,Midfielder,ARS,15.58,7.8,-0.1,10,10,851,0.0,0.3,0.0,0.0,1.1,0.2,43.2,0.9,0.8,0.9,0.1,0.1,2.5,1.9,0.2,0.0,0,No
1101,S. Cook,Defender,BOR,15.57,8.7,0.6,15,15,1350,0.07,0.53,0.07,0.0,0.2,0.0,37.4,0.2,0.67,0.73,0.13,0.0,2.13,0.87,0.2,0.0,1,No
1102,S. Aurier,Defender,TOT,15.56,11.0,0.8,14,14,1179,0.0,0.5,0.14,0.0,1.29,0.21,30.21,1.07,1.21,0.43,0.0,0.07,4.43,3.0,0.14,0.0,1,No
1103,E. Capoue,Midfielder,WAT,15.5,10.6,0.4,14,14,1240,0.0,0.79,0.07,0.0,0.64,0.0,43.5,0.43,1.64,1.14,0.29,0.0,3.5,2.21,0.21,0.0,0,No
1104,Azpilicueta,Defender,CHE,15.47,14.6,-1.3,17,17,1520,0.0,0.47,0.06,0.0,0.29,0.12,47.06,1.35,0.94,0.18,0.0,0.0,2.88,2.53,0.18,0.0,2,No
1105,Deulofeu,Attacker,WAT,15.47,12.6,-1.3,19,16,1379,0.16,2.21,0.95,0.05,2.11,0.11,20.0,1.53,0.89,0.79,0.16,0.0,1.37,0.89,0.21,0.0,4,No
1106,A. Wan-Bissaka,Defender,MUN,15.45,12.8,-0.4,17,17,1521,0.0,0.18,0.06,0.0,1.41,0.06,39.24,0.53,0.41,0.65,0.24,0.0,5.18,4.29,0.12,0.0,0,No
1107,D. Sanchez,Defender,TOT,15.45,10.2,0.8,15,15,1305,0.0,0.2,0.13,0.0,0.4,0.0,51.93,0.07,1.0,0.33,0.27,0.0,2.27,1.8,0.07,0.0,0,No
1108,A. Westwood,Midfielder,BRN,15.44,12.4,0.1,16,16,1440,0.0,0.38,0.0,0.0,0.25,0.25,34.0,1.44,1.5,1.0,0.38,0.0,1.69,1.31,0.44,0.0,2,No
1109,C. Hourihane,Midfielder,AVL,15.43,10.0,-0.6,12,8,672,0.25,1.17,0.5,0.0,0.17,0.17,19.58,1.08,0.67,0.92,0.17,0.0,0.75,0.58,0.08,0.0,3,No
1110,J. Egan,Defender,SHU,15.43,10.9,2.1,18,18,1609,0.0,0.5,0.11,0.0,0.06,0.0,30.0,0.0,1.0,0.5,0.11,0.0,2.56,1.33,0.39,0.0,2,No
